numbers_id,release_date,production_budget,domestic_gross_revenue,worldwide_gross_revenue,year,imdb_id,production_budget_infAdj,domestic_gross_revenue_infAdj,worldwide_gross_revenue_infAdj,profit,profit_infAdj,roi,kim_id,mpaa,sex,violence,language,type,metacritic_rating,tmdb_rating,rt_rating,fa_rating,genres,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,genre_\N,genre__NULL
35.0,2008-05-16,225000000.0,141621490.0,417341288.0,2008,tt0499448,317558226.89191496,199880307.79640475,589022930.7825246,192341288.0,271464703.8906096,0.8548501688888889,907.0,PG,1.0,6.0,1.0,Movie,62.0,6.6,66.0,5.6,"Action,Adventure,Family",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,2013-07-02,225000000.0,89302115.0,260002115.0,2013,tt1210819,286781323.9881335,113823016.77618025,331394447.90851086,35002115.0,44613123.92037737,0.15556495555555555,3000.0,PG-13,3.0,7.0,3.0,Movie,37.0,6.1,31.0,5.2,"Action,Adventure,Western",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.0,2012-06-27,220000000.0,262030663.0,757890267.0,2012,tt0948470,286212859.6748059,340893388.0896152,985990639.2626008,537890267.0,699777779.5877949,2.444955759090909,123.0,PG-13,3.0,6.0,4.0,Movie,66.0,6.7,71.0,5.8,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38.0,2012-04-11,220000000.0,65233400.0,313477717.0,2012,tt1440129,286212859.6748059,84866536.18322946,407824335.57681596,93477717.0,121611475.90201008,0.4248987136363636,398.0,PG-13,3.0,6.0,5.0,Movie,41.0,5.8,33.0,4.5,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.0,2017-06-20,217000000.0,130168683.0,602893340.0,2017,tt3371366,264603307.5768615,158723797.53329024,735150100.8297757,385893340.0,470546793.2529142,1.7783103225806451,5064.0,PG-13,2.0,6.0,4.0,Movie,27.0,6.1,16.0,4.3,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40.0,2015-06-09,215000000.0,652306625.0,1669963641.0,2015,tt0369610,265786402.37344715,806391772.5726293,2064435480.1667576,1454963641.0,1798649077.7933104,6.767272748837209,2692.0,PG-13,2.0,7.0,4.0,Movie,59.0,6.7,71.0,5.8,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41.0,2012-05-23,215000000.0,179020854.0,654213485.0,2012,tt1409024,279708021.9549239,232900320.74893597,851110510.8166851,439213485.0,571402488.8617611,2.042853418604651,3252.0,PG-13,3.0,5.0,4.0,Movie,58.0,6.5,67.0,5.7,"Action,Adventure,Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.0,2009-06-24,210000000.0,402111870.0,836519699.0,2009,tt1055369,285427271.2176945,546541398.9444968,1136978738.1210341,626519699.0,851551466.9033396,2.983427138095238,5063.0,PG-13,6.0,7.0,5.0,Movie,35.0,6.1,20.0,5.2,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43.0,2014-06-25,210000000.0,245439076.0,1104054072.0,2014,tt2109248,263810929.4851087,308331003.67393446,1386959671.124472,894054072.0,1123148741.6393633,4.257400342857143,5061.0,PG-13,3.0,7.0,5.0,Movie,32.0,5.9,17.0,4.5,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44.0,2006-05-26,210000000.0,234362462.0,459260946.0,2006,tt0376994,314680888.95852816,351187561.3365204,688193536.9105457,249260946.0,373512647.95201755,1.1869568857142858,5557.0,PG-13,4.0,6.0,3.0,Movie,58.0,6.4,57.0,6.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45.0,2010-05-14,210000000.0,105487148.0,322459006.0,2010,tt0955308,286458521.896522,143893773.78647456,439862524.90943676,112459006.0,153404003.01291478,0.5355190761904762,4197.0,R,4.0,8.0,3.0,Movie,53.0,6.4,43.0,6.1,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.0,2005-12-14,207000000.0,218080025.0,550517357.0,2005,tt0360717,320700734.36430484,337866783.41877276,852904930.7738945,343517357.0,532204196.4095897,1.6595041400966184,2756.0,PG-13,3.0,7.0,3.0,Movie,81.0,6.9,84.0,6.2,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.0,2007-12-07,205000000.0,70107728.0,367262558.0,2007,tt0385752,297576757.570927,101767953.06782678,533116103.35046107,162262558.0,235539345.77953404,0.7915246731707317,1956.0,PG-13,1.0,6.0,2.0,Movie,51.0,6.0,43.0,5.1,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
