"numbers_id","release_date","production_budget","domestic_gross_revenue","worldwide_gross_revenue","year","imdb_id","production_budget_infAdj","domestic_gross_revenue_infAdj","worldwide_gross_revenue_infAdj","profit","profit_infAdj","roi","kim_id","mpaa","sex","violence","language","type","metacritic_rating","tmdb_rating","rt_rating","fa_rating","genres","genre_Action","genre_Adult","genre_Adventure","genre_Animation","genre_Biography","genre_Comedy","genre_Crime","genre_Documentary","genre_Drama","genre_Family","genre_Fantasy","genre_Film.Noir","genre_History","genre_Horror","genre_Music","genre_Musical","genre_Mystery","genre_News","genre_Romance","genre_Sci.Fi","genre_Sport","genre_Thriller","genre_War","genre_Western","genre_.N","genre__NULL","metacritic_rating_Zscore","tmdb_rating_Zscore","rt_rating_Zscore","fa_rating_Zscore","mean_Zscore","metacritic_rating_Norm","tmdb_rating_Norm","rt_rating_Norm","fa_rating_Norm","mean_Norm_score","tmdb_rating_x10","fa_rating_x10","years_since_first","release_season"
4276,"2010-10-08",8e+06,6363628,6632950,2010,"tt0804497",10912705.596058,8680549.86085391,9047928.8229216,-1367050,-1864776.77313638,-0.17088125,2573,"PG-13",5,3,5,"Movie",63,7,58,6.4,"Comedy,Drama,Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.498360195826618,0.716651990713134,0.170220178379024,0.862739846989079,0.561993052976964,69.088490660388,76.3205571999798,46.0296096904441,80.585974065783,68.0061579041487,70,64,73,"fall"
4278,"1996-05-03",8e+06,5656388,5656388,1996,"tt0117283",15365148.011977,10863904.8541463,10863904.8541463,-2343612,-4501243.15783067,-0.2929515,3756,"PG-13",3,2,5,"Movie",NA,4.9,48,4.6,"Comedy,Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,-1.82289191367081,-0.194203559511448,-0.821563585352889,NA,NA,3.41598814489857,37.0962314939435,20.5662660681221,NA,49,46,59,"summer"
4281,"2016-09-02",8e+06,3915251,7298786,2016,"tt4520364",9877873.15215963,4834294.09210827,9012060.28409482,-701214,-865812.868064808,-0.08765175,3382,"R",1,6,5,"Movie",48,5.8,37,5.2,"Action,Horror,Sci-Fi",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.364957041515941,-0.734515954649119,-0.595069671190968,-0.260129107905566,-0.488667943815398,35.7571736794354,23.1317169974659,27.3048452220727,39.7382092862117,31.4829862962964,58,52,79,"fall"
4283,"2005-12-23",8e+06,3647381,19891331,2005,"tt0387898",12394231.2797799,5650810.45993436,30817219.6095819,11891331,18422988.329802,1.486416375,770,"R",6,6,5,"Movie",84,7.1,89,6.7,"Drama,Mystery,Thriller",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.7070043281062,0.837582652826655,1.29993376583949,1.14345708571274,1.24699445812127,95.608937603005,79.8867430568596,75.5804172274563,87.3575568694503,84.6084136891928,71,67,68,"holiday"
4284,"2010-11-05",8e+06,3205706,20005613,2010,"tt1431181",10912705.596058,4372865.72568958,27289420.6172088,12005613,16376715.0211508,1.500701625,209,"PG-13",3,2,5,"Movie",81,7,93,6.8,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53434088063769,0.716651990713134,1.44570326099568,1.23702949862063,1.23343140774178,93.7527093246171,76.3205571999798,80.4088156123822,89.1961934288237,84.9195688914507,70,68,73,"fall"
4287,"1998-09-25",8e+06,1793359,2256606,1998,"tt0118863",14586441.774264,3269840.82923154,4114481.50330685,-5743394,-10471960.2709571,-0.71792425,932,"R",6,7,10,"Movie",46,6.2,61,5.7,"Comedy,Crime",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480066006494948,-0.250793306195034,0.279547299746165,0.207732956633869,-0.060894764077487,31.559022943195,40.0986958552712,48.0989232839838,58.2281258354906,44.4961919794851,62,57,61,"fall"
4289,"2018-04-05",8e+06,1163056,2985001,2018,"tt5340300",9550578.27295368,1388482.17047855,3563560.71191813,-5014999,-5987017.56103556,-0.626874875,2874,"R",3,5,10,"Movie",80,6.9,90,6.6,"Adventure,Drama,Sport",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.47678639814818,0.595721328599613,1.33637613962853,1.04988467280485,1.1146921347953,93.0133548115599,72.4319296357409,76.6403095558546,85.3114430356403,81.8492592596989,69,66,81,"early_year"
4290,"2010-11-19",8e+06,1095369,15644196,2010,"tt1371155",10912705.596058,1494179.92700605,21340063.1543785,7644196,10427357.5583205,0.9555245,3095,"R",6,3,6,"Movie",65,6.7,80,6.5,"Comedy,Drama,History",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613469160805626,0.353860004372571,0.971952401738062,0.956312259896965,0.723898456703306,73.0216915970594,63.82780989876,66.0666218034993,83.0542751108515,71.4925996025426,67,65,73,"holiday"
4305,"2011-09-16",8e+06,163753,2772511,2011,"tt1498569",10736624.9469284,219769.318116795,3720926.34602916,-5227489,-7015698.6008992,-0.653436125,4152,"PG-13",4,5,4,"Movie",47,6.5,38,6.1,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.422511524005444,0.111998680145529,-0.558627297401921,0.582022608265417,-0.0717793832491048,33.6325845508441,54.4587773460634,28.221736204576,71.9724273713081,47.0713813681979,65,61,74,"fall"
4322,"2019-11-08",8e+06,0,242788,2019,"tt8236336",9323094.7607904,0,282941.941347847,-7757212,-9040152.81944255,-0.9696515,4138,"R",5,5,5,"Movie",66,7,82,6.3,"Biography,Crime,Drama",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67102364329513,0.716651990713134,1.04483714931616,0.769167434081191,0.800420054351403,74.8897266122274,76.3205571999798,68.1022880215343,77.910303983235,74.3057189542441,70,63,82,"fall"
